m       s*     sc     sb    
65706   3.406  3.406  2.731  
65707   3.221  3.221  2.731  
65708   3.191  3.191  2.731  
65709   3.537  3.537  2.731  
65710   3.533  3.533  2.731  
65711   3.435  3.435  2.731  
65712   3.285  3.285  2.731  
65713   3.292  3.292  2.731  
65714   3.504  3.504  2.731  
65715   3.323  3.323  2.731  
65716   3.316  3.316  2.731  
65717   3.486  3.486  2.731  
65718   3.247  3.247  2.731  
65719   3.153  3.153  2.731  
65720   3.389  3.389  2.731  
65721   3.269  3.269  2.731  
65722   3.072  3.072  2.731  
65723   3.114  3.114  2.731  
65724   2.982  2.982  2.731  
65725   2.897  2.897  2.731  
65726   3.448  2.897  2.731  
65727   3.816  3.816  2.731  
65728   3.543  3.543  2.731  
65729   3.504  3.504  2.731  
65730   3.267  3.267  2.731  
65731   3.195  3.195  2.731  
65732   3.282  3.282  2.731  
65733   3.158  3.158  2.731  
65734   3.044  3.044  2.731  
65735   3.264  3.044  2.731  
65736   3.199  3.199  2.731  
65737   3.135  3.135  2.731  
65738   3.004  3.004  2.731  
65739   3.114  3.114  2.731  
65740   3.326  3.114  2.731  
65741   3.132  3.132  2.731  
65742   3.343  3.343  2.731  
65743   3.311  3.311  2.731  
65744   3.156  3.156  2.731  
65745   3.37   3.37   2.731  
65746   3.331  3.331  2.731  
65747   3.119  3.119  2.731  
65748   2.867  2.867  2.731  
65749   2.948  2.948  2.731  
65750   3.225  3.225  2.731  
65751   3.432  3.432  2.731  
65752   3.358  3.358  2.731  
65753   3.137  3.137  2.731  
65754   3.529  3.529  2.731  
65755   4.184  4.184  2.731  
65756   4.373  4.373  2.731  
65757   4.318  4.318  2.731  
65758   4.17   4.17   2.731  
65759   4.314  4.314  2.731  
65760   4.479  4.479  2.731  
65761   4.563  4.563  2.731  
65762   4.613  4.613  2.731  
65763   4.389  4.389  2.731  
65764   4.365  4.365  2.731  
65765   4.292  4.292  2.731  
65766   4.161  4.161  2.731  
65767   4.051  4.051  2.731  
65768   3.951  3.951  2.731  
65769   4.05   4.05   2.731  
65770   4.409  4.409  2.731  
